playerTransformPositions: x = 200.9653, z = 98.44806 
playerTransformPositions: x = 201.2205, z = 98.61092 
playerTransformPositions: x = 201.3082, z = 98.66105 
playerTransformPositions: x = 201.5781, z = 98.79824 
playerTransformPositions: x = 201.6703, z = 98.83957 
playerTransformPositions: x = 201.9532, z = 98.95071 
playerTransformPositions: x = 202.0485, z = 98.98584 
playerTransformPositions: x = 202.1437, z = 99.02097 
playerTransformPositions: x = 202.2389, z = 99.05611 
playerTransformPositions: x = 202.3342, z = 99.09124 
playerTransformPositions: x = 202.4294, z = 99.12637 
playerTransformPositions: x = 202.5246, z = 99.16151 
playerTransformPositions: x = 202.6199, z = 99.19664 
playerTransformPositions: x = 202.7151, z = 99.23177 
playerTransformPositions: x = 202.8103, z = 99.26691 
playerTransformPositions: x = 202.9055, z = 99.30204 
playerTransformPositions: x = 203.0008, z = 99.33717 
playerTransformPositions: x = 203.096, z = 99.37231 
playerTransformPositions: x = 203.1912, z = 99.40744 
playerTransformPositions: x = 203.2865, z = 99.44257 
playerTransformPositions: x = 203.3817, z = 99.4777 
playerTransformPositions: x = 203.4769, z = 99.51283 
playerTransformPositions: x = 203.5722, z = 99.54797 
playerTransformPositions: x = 203.6674, z = 99.5831 
playerTransformPositions: x = 203.7626, z = 99.61823 
playerTransformPositions: x = 203.8583, z = 99.65212 
playerTransformPositions: x = 203.9544, z = 99.68475 
playerTransformPositions: x = 204.051, z = 99.71612 
playerTransformPositions: x = 204.1482, z = 99.74512 
playerTransformPositions: x = 204.2459, z = 99.77267 
playerTransformPositions: x = 204.344, z = 99.79895 
playerTransformPositions: x = 204.4424, z = 99.82394 
playerTransformPositions: x = 204.5413, z = 99.84652 
playerTransformPositions: x = 204.6403, z = 99.86892 
playerTransformPositions: x = 204.7396, z = 99.89003 
playerTransformPositions: x = 204.8389, z = 99.91113 
playerTransformPositions: x = 204.9382, z = 99.93224 
playerTransformPositions: x = 205.0375, z = 99.95334 
playerTransformPositions: x = 205.1367, z = 99.97445 
playerTransformPositions: x = 205.236, z = 99.99555 
playerTransformPositions: x = 205.3353, z = 100.0167 
playerTransformPositions: x = 205.4346, z = 100.0378 
playerTransformPositions: x = 205.5339, z = 100.0589 
playerTransformPositions: x = 205.6332, z = 100.08 
playerTransformPositions: x = 205.7325, z = 100.1011 
playerTransformPositions: x = 205.8318, z = 100.1222 
playerTransformPositions: x = 205.931, z = 100.1433 
playerTransformPositions: x = 206.0303, z = 100.1644 
playerTransformPositions: x = 206.1296, z = 100.1855 
playerTransformPositions: x = 206.2295, z = 100.2067 
playerTransformPositions: x = 206.3297, z = 100.2304 
playerTransformPositions: x = 206.4301, z = 100.2565 
playerTransformPositions: x = 206.5301, z = 100.2851 
playerTransformPositions: x = 206.6298, z = 100.3161 
playerTransformPositions: x = 206.7288, z = 100.3495 
playerTransformPositions: x = 206.827, z = 100.3852 
playerTransformPositions: x = 207.0204, z = 100.4635 
playerTransformPositions: x = 207.1156, z = 100.506 
playerTransformPositions: x = 207.2095, z = 100.5506 
playerTransformPositions: x = 207.3024, z = 100.5975 
playerTransformPositions: x = 207.3939, z = 100.6464 
playerTransformPositions: x = 207.4842, z = 100.6975 
playerTransformPositions: x = 207.6606, z = 100.8058 
playerTransformPositions: x = 207.7467, z = 100.863 
playerTransformPositions: x = 207.9952, z = 101.0457 
playerTransformPositions: x = 208.0746, z = 101.1101 
playerTransformPositions: x = 208.301, z = 101.3123 
playerTransformPositions: x = 208.3725, z = 101.3826 
playerTransformPositions: x = 208.5749, z = 101.6023 
playerTransformPositions: x = 208.6384, z = 101.6785 
playerTransformPositions: x = 208.8179, z = 101.9169 
playerTransformPositions: x = 208.8741, z = 101.9996 
playerTransformPositions: x = 209.0318, z = 102.2581 
playerTransformPositions: x = 209.0807, z = 102.3476 
playerTransformPositions: x = 209.2168, z = 102.6263 
playerTransformPositions: x = 209.2585, z = 102.7226 
playerTransformPositions: x = 209.3733, z = 103.0219 
playerTransformPositions: x = 209.4114, z = 103.1253 
playerTransformPositions: x = 209.5393, z = 103.4291 
playerTransformPositions: x = 209.5863, z = 103.5283 
playerTransformPositions: x = 209.739, z = 103.8163 
playerTransformPositions: x = 209.7935, z = 103.909 
playerTransformPositions: x = 209.849, z = 103.9993 
playerTransformPositions: x = 210.0166, z = 104.2566 
playerTransformPositions: x = 210.0702, z = 104.3408 
playerTransformPositions: x = 210.2162, z = 104.5941 
playerTransformPositions: x = 210.26, z = 104.6786 
playerTransformPositions: x = 210.3776, z = 104.932 
playerTransformPositions: x = 210.413, z = 105.0173 
playerTransformPositions: x = 210.5055, z = 105.2746 
playerTransformPositions: x = 210.5323, z = 105.3613 
playerTransformPositions: x = 210.5982, z = 105.6243 
playerTransformPositions: x = 210.6423, z = 105.8913 
playerTransformPositions: x = 210.6521, z = 105.9809 
playerTransformPositions: x = 210.6667, z = 106.2502 
playerTransformPositions: x = 210.6666, z = 106.34 
playerTransformPositions: x = 210.6515, z = 106.6096 
playerTransformPositions: x = 210.6416, z = 106.6994 
playerTransformPositions: x = 210.597, z = 106.967 
playerTransformPositions: x = 210.5773, z = 107.0556 
playerTransformPositions: x = 210.5033, z = 107.3196 
playerTransformPositions: x = 210.4737, z = 107.4069 
playerTransformPositions: x = 210.3703, z = 107.6676 
playerTransformPositions: x = 210.3309, z = 107.7542 
playerTransformPositions: x = 210.198, z = 108.0149 
playerTransformPositions: x = 210.1493, z = 108.1035 
playerTransformPositions: x = 210.01, z = 108.38 
playerTransformPositions: x = 209.9651, z = 108.4741 
playerTransformPositions: x = 209.8405, z = 108.7607 
playerTransformPositions: x = 209.8051, z = 108.8593 
playerTransformPositions: x = 209.719, z = 109.1621 
playerTransformPositions: x = 209.6959, z = 109.2649 
playerTransformPositions: x = 209.6482, z = 109.5786 
playerTransformPositions: x = 209.6385, z = 109.6843 
playerTransformPositions: x = 209.6094, z = 110.0013 
playerTransformPositions: x = 209.5997, z = 110.1069 
playerTransformPositions: x = 209.5788, z = 110.4258 
playerTransformPositions: x = 209.5704, z = 110.6396 
playerTransformPositions: x = 209.5728, z = 110.8555 
playerTransformPositions: x = 209.5882, z = 111.0731 
playerTransformPositions: x = 209.6134, z = 111.2922 
playerTransformPositions: x = 209.6393, z = 111.5116 
playerTransformPositions: x = 209.6682, z = 111.7308 
playerTransformPositions: x = 209.697, z = 111.9499 
playerTransformPositions: x = 209.7259, z = 112.169 
playerTransformPositions: x = 209.7691, z = 112.4977 
playerTransformPositions: x = 209.798, z = 112.7168 
playerTransformPositions: x = 209.8268, z = 112.9359 
playerTransformPositions: x = 209.8701, z = 113.2646 
playerTransformPositions: x = 209.8989, z = 113.4837 
playerTransformPositions: x = 209.9278, z = 113.7028 
playerTransformPositions: x = 209.9711, z = 114.0315 
playerTransformPositions: x = 209.9997, z = 114.2491 
playerTransformPositions: x = 210.0311, z = 114.4653 
playerTransformPositions: x = 210.0623, z = 114.681 
playerTransformPositions: x = 210.0935, z = 114.8961 
playerTransformPositions: x = 210.1246, z = 115.1106 
playerTransformPositions: x = 210.1713, z = 115.4324 
playerTransformPositions: x = 210.1868, z = 115.5396 
playerTransformPositions: x = 210.2372, z = 115.8576 
playerTransformPositions: x = 210.2539, z = 115.9632 
playerTransformPositions: x = 210.2929, z = 116.1735 
playerTransformPositions: x = 210.3372, z = 116.382 
